distance,seed,n_requested,n_selected,shortfall,hardcut_target_met,clusters_covered,temporal_std,temporal_range,spatial_mean_km,spatial_min_km,wwi_percent,selected_indices_json
28.5,42,40,40,0,True,8,9.600981520336667,40.0,504.231197579865,42.68917182008416,30.0,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281, 62, 392, 549, 646, 436, 19]"
28.5,43,40,40,0,True,8,9.600981520336667,40.0,504.231197579865,42.68917182008416,30.0,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281, 62, 392, 549, 646, 436, 19]"
28.5,44,40,40,0,True,8,9.600981520336667,40.0,504.231197579865,42.68917182008416,30.0,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281, 62, 392, 549, 646, 436, 19]"
28.5,45,40,40,0,True,8,9.600981520336667,40.0,504.231197579865,42.68917182008416,30.0,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281, 62, 392, 549, 646, 436, 19]"
28.5,46,40,40,0,True,8,9.600981520336667,40.0,504.231197579865,42.68917182008416,30.0,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181, 454, 628, 51, 606, 255, 486, 448, 276, 136, 281, 62, 392, 549, 646, 436, 19]"
