distance,seed,n_requested,n_selected,shortfall,hardcut_target_met,clusters_covered,temporal_std,temporal_range,spatial_mean_km,spatial_min_km,wwi_percent,selected_indices_json
28.5,42,24,24,0,True,8,9.709923207505412,37.0,493.2649644820932,42.68917182008416,29.166666666666668,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181]"
28.5,43,24,24,0,True,8,9.709923207505412,37.0,493.2649644820932,42.68917182008416,29.166666666666668,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181]"
28.5,44,24,24,0,True,8,9.709923207505412,37.0,493.2649644820932,42.68917182008416,29.166666666666668,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181]"
28.5,45,24,24,0,True,8,9.709923207505412,37.0,493.2649644820932,42.68917182008416,29.166666666666668,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181]"
28.5,46,24,24,0,True,8,9.709923207505412,37.0,493.2649644820932,42.68917182008416,29.166666666666668,"[341, 547, 102, 262, 374, 596, 217, 60, 586, 82, 468, 499, 332, 193, 623, 54, 525, 359, 666, 28, 124, 140, 15, 181]"
